
26/8/2021  20:9  
**************************************************************
***---- ARCHIVO GENERADO EN WWW.LaWebdelaPrimitiva.com ----***
**************************************************************
HISTORICO DE SORTEOS DE Bonoloto DE 2020

FECHA; N1;N2;N3;N4;N5;N6;C;R;Pares/Impares;Decenas;Bajos/Altos
28-07-2020;  6; 7; 9;20;27;30;47;0;(3/3);'30210';(4/2);
27-07-2020;  8;22;24;27;29;41;14;2;(3/3);'10401';(3/3);
25-07-2020;  1;13;18;26;38;42;15;0;(4/2);'12111';(3/3);
24-07-2020;  5; 7; 9;13;15;23;28;9;(0/6);'32100';(6/0);
23-07-2020; 10;12;19;23;33;47;45;1;(2/4);'03111';(4/2);
22-07-2020;  1; 4;29;33;38;49;41;0;(2/4);'20121';(2/4);
21-07-2020; 23;35;40;44;45;49;36;8;(2/4);'00114';(1/5);
20-07-2020;  1;16;30;35;37;40;39;3;(3/3);'11031';(2/4);
18-07-2020;  2;15;20;31;37;48; 3;8;(3/3);'11121';(3/3);
17-07-2020;  5; 8;11;17;26;40; 9;9;(3/3);'22101';(4/2);
16-07-2020; 16;20;28;29;34;42;47;2;(5/1);'01311';(2/4);
15-07-2020; 14;19;24;28;36;45;48;5;(4/2);'02211';(3/3);
14-07-2020;  4;13;16;26;28;41;22;6;(4/2);'12201';(3/3);
13-07-2020;  9;11;23;26;42;43;10;5;(2/4);'11202';(3/3);
11-07-2020;  3;14;29;37;46;49;30;2;(2/4);'11112';(2/4);
10-07-2020;  7;19;22;34;39;47;44;7;(2/4);'11121';(3/3);
 9-07-2020;  4;15;27;37;38;40; 5;9;(3/3);'11121';(2/4);
 8-07-2020;  7;13;20;23;28;37;18;9;(2/4);'11310';(4/2);
 7-07-2020;  7;14;19;26;41;46;32;1;(3/3);'12102';(3/3);
 6-07-2020; 11;26;32;34;40;41;10;3;(4/2);'01122';(1/5);
 4-07-2020; 10;13;26;32;38;39;37;5;(4/2);'02130';(2/4);
 3-07-2020;  2;21;25;34;39;44;22;8;(3/3);'10221';(3/3);
 2-07-2020;  3; 6;17;33;35;43;42;5;(1/5);'21021';(3/3);
 1-07-2020;  4; 6; 8;21;23;43;45;0;(3/3);'30201';(5/1);
30-06-2020; 20;22;29;30;33;37;27;4;(3/3);'00330';(2/4);
29-06-2020; 10;20;32;37;40;45;28;1;(4/2);'01122';(2/4);
27-06-2020;  2;17;20;21;40;47;46;3;(3/3);'11202';(4/2);
26-06-2020;  5;13;33;38;40;43;42;4;(2/4);'11022';(2/4);
25-06-2020;  5;18;22;28;33;43;23;2;(3/3);'11211';(3/3);
24-06-2020; 19;20;23;38;40;45;27;2;(3/3);'01212';(3/3);
